Lane.accession,MLST,Isolate,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERR439587,443,11791_3#55,2008,S,S,,R,R,R,R,,S,,,R
ERR439588,80,11791_3#56,2008,S,S,,R,R,S,S,,S,,,S
ERR434718,540,11658_4#76,2008,S,S,,R,S,S,S,,S,,,S
ERR435384,131,11679_6#93,2008,S,R,,R,R,S,R,,S,,,R
ERR435343,106,11679_6#52,2008,S,S,,R,R,S,R,,S,,,S
ERR435546,405,11679_8#64,2008,R,R,,R,R,R,R,,R,,,R
ERR439589,12,11791_3#57,2008,S,S,,R,R,S,R,,S,,,S
ERR435567,131,11679_8#85,2008,S,S,,R,R,S,S,,R,,,R
ERR434590,141,11658_3#44,2008,S,S,,S,S,S,S,,S,,,S
ERR434319,131,11657_5#61,2008,R,R,,R,S,S,R,,R,,,R
ERR435004,540,11658_7#74,2008,S,S,,R,R,S,S,,S,,,S
ERR435151,131,11679_4#52,2008,R,R,,R,R,S,R,,S,,,R
ERR434706,95,11658_4#64,2008,S,S,,S,S,S,R,,S,,,S
ERR434719,131,11658_4#77,2008,S,S,,S,S,S,R,,R,,,R
ERR439656,38,11791_6#29,2008,R,R,,R,R,S,R,,R,,,R
ERR435578,73,11679_8#96,2008,S,S,,R,R,R,S,,S,,,S
ERR434508,131,11657_7#58,2008,R,R,,R,R,S,R,,R,,,R
ERR435431,131,11679_7#44,2008,R,R,,R,R,S,R,,R,,,R
ERR434411,10,11657_6#57,2008,S,S,,R,S,S,R,,S,,,S
ERR434509,131,11657_7#59,2008,S,S,,R,R,S,S,,S,,,S
ERR435195,73,11679_4#96,2008,S,S,,R,S,S,S,,S,,,S
ERR435547,349,11679_8#65,2008,S,S,,R,S,S,S,,S,,,S
ERR435240,357,11679_5#45,2008,S,S,,S,S,S,S,,S,,,S
ERR434543,12,11657_7#93,2008,S,S,,R,R,S,S,,S,,,S
ERR435344,12,11679_6#53,2008,S,S,,R,R,S,S,,S,,,S
ERR435449,929,11679_7#62,2008,S,S,,R,R,S,S,,S,,,S
ERR435291,95,11679_5#96,2008,S,S,,R,S,S,S,,S,,,S
ERR435167,80,11679_4#68,2008,S,S,,R,R,S,S,,S,,,S
ERR434528,131,11657_7#78,2008,S,S,,S,S,S,R,,S,,,R
ERR434671,73,11658_4#29,2001,S,,,R,S,S,S,,S,,,S
ERR434973,1288,11658_7#43,2001,S,,,R,S,S,R,,S,,,S
ERR435168,73,11679_4#69,2008,S,S,,S,S,S,S,,S,,,S
ERR434529,352,11657_7#79,2008,S,S,,S,S,S,S,,S,,,S
ERR435346,73,11679_6#55,2008,S,S,,R,R,S,S,,S,,,S
ERR435252,131,11679_5#57,2008,S,S,,R,S,S,S,,S,,,S
ERR439624,131,11791_3#92,2008,S,S,,R,R,S,S,,S,,,S
ERR434517,73,11657_7#67,2008,S,S,,S,S,S,S,,S,,,S
ERR435551,69,11679_8#69,2008,S,S,,R,S,S,S,,S,,,S
ERR434329,59,11657_5#71,2008,S,S,,R,R,S,S,,S,,,S
ERR434421,131,11657_6#67,2008,S,R,,R,R,S,R,,S,,,R
ERR434481,1670,11657_7#31,2001,S,,,S,S,S,S,,S,,,S
ERR434445,131,11657_6#91,2008,S,R,,R,R,S,R,,S,,,R
ERR439700,297,11791_7#37,2001,S,,,S,S,S,S,,R,,,S
ERR434797,144,11658_5#59,2001,S,,,R,S,S,S,,S,,,S
ERR439701,95,11791_7#38,2001,S,,,S,S,S,S,,S,,,S
ERR434892,345,11658_6#58,2001,S,,,S,S,S,S,,S,,,S
ERR434798,5417,11658_5#60,2001,S,,,S,S,S,R,,S,,,S
ERR434352,131,11657_5#94,2008,S,S,,S,S,S,S,,S,,,S
ERR434518,95,11657_7#68,2008,S,S,,R,S,S,S,,S,,,S
ERR435002,10,11658_7#72,2008,S,S,,S,S,S,S,,S,,,S
ERR434422,10,11657_6#68,2008,S,S,,S,S,S,S,,S,,,S
ERR434829,95,11658_5#91,2008,S,S,,S,S,S,S,,S,,,S
ERR434519,73,11657_7#69,2008,S,S,,R,R,R,S,,S,,,S
ERR434605,93,11658_3#59,2008,S,S,,R,S,S,S,,S,,,S
ERR435566,131,11679_8#84,2008,S,S,,R,R,S,S,,S,,,S
ERR435355,5470,11679_6#64,2008,S,S,,R,S,S,S,,S,,,S
ERR435162,95,11679_4#63,2008,S,S,,S,S,S,S,,S,,,S
ERR435430,38,11679_7#43,2008,S,S,,R,R,S,S,,S,,,S
ERR435442,421,11679_7#55,2008,S,S,,S,S,S,S,,S,,,S
ERR485895,144,12045_3#62,2008,S,S,,R,S,S,S,,S,,,S
ERR435356,95,11679_6#65,2008,S,S,,S,S,S,S,,S,,,S
ERR435357,362,11679_6#66,2008,S,S,,S,S,S,S,,S,,,S
ERR435253,106,11679_5#58,2008,S,S,,R,S,S,S,,S,,,S
ERR434606,569,11658_3#60,2008,S,S,,R,S,S,R,,S,,,S
ERR435358,73,11679_6#67,2008,S,S,,R,R,S,R,,S,,,S
ERR435443,58,11679_7#56,2008,S,S,,R,R,S,S,,S,,,S
ERR439610,12,11791_3#78,2008,S,S,,R,R,S,R,,S,,,S
ERR434638,144,11658_3#92,2008,S,S,,R,S,S,S,,S,,,S
ERR435186,69,11679_4#87,2008,S,S,,R,S,S,S,,S,,,S
ERR434712,69,11658_4#70,2008,S,S,,R,R,S,S,,S,,,S
ERR434330,73,11657_5#72,2008,S,S,,R,R,S,S,,S,,,S
ERR435444,95,11679_7#57,2008,S,S,,R,S,S,S,,S,,,S
ERR435359,648,11679_6#68,2008,S,S,,R,R,S,S,,S,,,S
ERR434713,88,11658_4#71,2008,S,S,,R,R,S,S,,S,,,S
ERR439725,73,11791_7#63,2008,S,S,,S,S,S,S,,S,,,S
ERR434521,73,11657_7#71,2008,S,S,,S,S,S,S,,S,,,S
ERR434969,421,11658_7#39,2001,S,,,S,S,S,S,,S,,,S
ERR439654,393,11791_6#27,2008,S,R,,R,S,S,R,,S,,,S
ERR434287,404,11657_5#29,2001,S,,,R,S,S,S,,R,,,S
ERR434288,12,11657_5#30,2001,S,,,R,R,S,S,,S,,,S
ERR434482,80,11657_7#32,2001,S,,,R,S,S,S,,S,,,S
ERR434714,973,11658_4#72,2008,S,S,,R,R,S,S,,R,,,S
ERR434607,141,11658_3#61,2008,S,S,,R,S,S,R,,S,,,S
ERR439613,131,11791_3#81,2008,S,S,,R,S,S,S,,S,,,R
ERR435164,69,11679_4#65,2008,S,S,,R,S,S,S,,S,,,S
ERR435445,131,11679_7#58,2008,S,S,,R,S,S,S,,S,,,R
ERR435285,131,11679_5#90,2008,S,S,,S,S,S,S,,S,,,S
ERR434715,62,11658_4#73,2008,S,S,,S,S,S,S,,S,,,S
ERR435165,131,11679_4#66,2008,S,S,,R,R,S,S,,S,,,R
ERR434331,12,11657_5#73,2008,S,S,,R,S,S,S,,S,,,S
ERR434608,12,11658_3#62,2008,S,S,,R,S,S,S,,S,,,S
ERR439702,10,11791_7#39,2001,S,,,R,S,S,S,,S,,,S
ERR434423,38,11657_6#69,2008,S,S,,R,S,S,S,,S,,,S
ERR435284,372,11679_5#89,2008,S,S,,R,S,S,S,,S,,,S
ERR435446,73,11679_7#59,2008,S,S,,S,S,S,S,,S,,,S
ERR434510,73,11657_7#60,2008,S,S,,S,S,S,S,,S,,,S
ERR435283,127,11679_5#88,2008,S,S,,S,S,S,S,,S,,,S
ERR435153,131,11679_4#54,2008,R,R,,R,R,S,R,,R,,,R
ERR434412,95,11657_6#58,2008,S,S,,R,S,S,S,,S,,,S
ERR434799,1531,11658_5#61,2001,S,,,R,S,S,S,,S,,,S
ERR434635,394,11658_3#89,2008,R,R,,R,R,S,R,,R,,,S
ERR435345,421,11679_6#54,2008,S,S,,S,S,S,S,,S,,,S
ERR435432,5383,11679_7#45,2008,S,S,,R,S,S,S,,S,,,S
ERR434672,393,11658_4#30,2001,S,,,R,R,S,S,,S,,,S
ERR434893,12,11658_6#59,2001,S,,,R,S,S,S,,S,,,S
ERR435241,978,11679_5#46,2008,S,S,,S,S,S,R,,S,,,S
ERR439726,73,11791_7#64,2008,S,S,,R,S,S,S,,S,,,S
ERR434332,538,11657_5#74,2008,S,S,,S,S,S,S,,S,,,S
ERR434925,131,11658_6#91,2008,R,R,,R,R,S,R,,R,,,R
ERR435258,62,11679_5#63,2008,S,S,,R,S,S,S,,S,,,S
ERR435477,69,11679_7#90,2008,S,S,,R,S,S,S,,S,,,S
ERR435447,73,11679_7#60,2008,S,S,,S,S,S,S,,S,,,S
ERR434524,73,11657_7#74,2008,S,S,,S,S,S,S,,S,,,S
ERR434525,393,11657_7#75,2008,S,S,,S,S,S,S,,S,,,S
ERR434610,73,11658_3#64,2008,S,S,,R,R,S,S,,S,,,S
ERR434491,539,11657_7#41,2001,S,,,R,R,S,S,,R,,,R
ERR434673,73,11658_4#31,2001,S,,,S,S,S,S,,S,,,S
ERR434974,636,11658_7#44,2001,S,,,R,R,S,S,,S,,,S
ERR434674,404,11658_4#32,2001,S,,,R,S,S,S,,S,,,S
ERR435255,127,11679_5#60,2009,S,S,,S,S,S,S,,S,,,S
ERR434830,405,11658_5#92,2009,S,S,,R,S,S,S,,S,,,S
ERR439628,12,11791_3#96,2009,S,S,,R,R,R,S,,S,,,S
ERR434523,131,11657_7#73,2009,S,S,,R,S,S,S,,S,,,R
ERR435470,69,11679_7#83,2009,S,S,,R,S,S,S,,R,,,S
ERR434544,2253,11657_7#94,2009,S,S,,R,S,S,S,,S,,,S
ERR435483,12,11679_7#96,2009,S,S,,S,S,S,S,,S,,,S
ERR434926,131,11658_6#92,2009,S,S,,S,S,S,R,,S,,,S
ERR435498,641,11679_8#15,2001,S,,,R,S,S,S,,S,,,S
ERR435361,5639,11679_6#70,2009,S,S,,R,S,S,S,,S,,,S
ERR435569,131,11679_8#87,2009,S,S,,R,S,S,S,,S,,,S
ERR435309,73,11679_6#18,2001,S,,,S,S,S,S,,S,,,S
ERR434975,117,11658_7#45,2001,S,,,R,R,S,S,,S,,,S
ERR439703,73,11791_7#40,2001,S,,,S,S,S,S,,S,,,S
ERR439704,73,11791_7#41,2001,S,,,S,S,S,S,,S,,,S
ERR435061,91,11658_8#58,2001,S,,,S,S,S,S,,S,,,S
ERR434716,131,11658_4#74,2009,R,R,,R,R,S,R,,R,,,R
ERR434642,95,11658_3#96,2009,S,S,,S,S,S,S,,S,,,S
ERR435387,1442,11679_6#96,2009,S,S,,S,S,S,S,,S,,,S
ERR434545,131,11657_7#95,2009,S,S,,R,S,S,S,,S,,,R
ERR435554,127,11679_8#72,2009,S,S,,S,S,S,S,,S,,,S
ERR435003,95,11658_7#73,2009,S,S,,S,S,S,S,,S,,,S
ERR434527,131,11657_7#77,2009,S,S,,R,R,S,S,,R,,,S
ERR435096,131,11658_8#93,2009,R,R,,R,S,S,R,,S,,,R
ERR435552,131,11679_8#70,2009,S,S,,R,R,S,S,,R,,,S
ERR435553,86,11679_8#71,2009,S,S,,R,S,S,S,,S,,,S
ERR435448,648,11679_7#61,2009,S,S,,R,R,R,R,,S,,,S
ERR434546,73,11657_7#96,2009,S,S,,S,S,S,S,,S,,,S
ERR434333,73,11657_5#75,2009,S,S,,S,S,S,S,,S,,,S
ERR439655,12,11791_6#28,2009,S,S,,R,R,S,S,,S,,,S
ERR435451,657,11679_7#64,2009,S,S,,S,S,S,S,,S,,,S
ERR435187,95,11679_4#88,2009,S,S,,S,S,S,S,,S,,,S
ERR439612,69,11791_3#80,2009,S,S,,R,S,S,S,,S,,,S
ERR439611,680,11791_3#79,2009,S,S,,S,S,S,S,,S,,,S
ERR434927,14,11658_6#93,2009,S,S,,S,S,S,S,,S,,,S
ERR434894,12,11658_6#60,2001,S,,,S,S,S,S,,S,,,S
ERR435097,38,11658_8#94,2009,S,S,,R,S,S,R,,S,,,S
ERR434675,767,11658_4#33,2001,S,,,R,S,S,S,,S,,,S
ERR435209,127,11679_5#14,2001,S,,,R,R,S,S,,S,,,S
ERR434522,5604,11657_7#72,2009,S,S,,R,R,S,R,,S,,,S
ERR434353,453,11657_5#95,2009,S,S,,R,R,R,S,,S,,,S
ERR439596,648,11791_3#64,2009,S,S,,R,S,S,S,,S,,,S
ERR434831,2020,11658_5#93,2009,S,S,,R,S,S,S,,S,,,S
ERR434424,409,11657_6#70,2009,S,S,,R,S,S,S,,S,,,S
ERR435450,73,11679_7#63,2009,R,S,,R,R,R,R,,S,,,S
ERR435259,73,11679_5#64,2009,S,S,,S,S,S,S,,S,,,S
ERR434530,127,11657_7#80,2009,S,S,,R,S,S,S,,S,,,S
ERR434717,144,11658_4#75,2009,S,S,,R,R,S,S,,S,,,S
ERR434505,131,11657_7#55,2009,S,S,,R,S,S,S,,R,,,R
ERR434565,5346,11658_3#19,2001,S,,,R,S,S,S,,S,,,S
ERR434410,1262,11657_6#56,2009,S,S,,S,S,S,S,,S,,,S
ERR434634,428,11658_3#88,2009,S,S,,R,R,S,S,,S,,,S
ERR434604,393,11658_3#58,2009,R,R,,R,R,S,R,,S,,,R
ERR435441,131,11679_7#54,2009,R,R,,R,R,S,R,,S,,,R
ERR435429,131,11679_7#42,2009,S,S,,R,R,S,R,,S,,,R
ERR434591,540,11658_3#45,2009,S,S,,R,S,S,S,,S,,,S
ERR439590,131,11791_3#58,2009,S,S,,S,S,S,S,,S,,,S
ERR434334,405,11657_5#76,2009,S,S,,R,R,R,R,,S,,,S
ERR435169,127,11679_4#70,2009,S,S,,S,S,S,S,,S,,,S
ERR435260,73,11679_5#65,2009,S,S,,R,S,S,S,,S,,,S
ERR439658,131,11791_6#32,2009,S,S,,R,R,S,S,,S,,,S
ERR435170,73,11679_4#71,2009,S,S,,R,R,S,S,,S,,,S
ERR434612,73,11658_3#66,2009,S,S,,R,R,S,S,,S,,,S
ERR435006,69,11658_7#76,2009,S,S,,R,R,R,S,,S,,,S
ERR439661,38,11791_6#35,2009,S,S,,R,R,S,R,,S,,,S
ERR439597,69,11791_3#65,2009,S,S,,R,R,S,S,,S,,,S
ERR434340,73,11657_5#82,2009,S,S,,R,R,S,S,,S,,,S
ERR439617,345,11791_3#85,2009,S,S,,R,S,S,S,,S,,,S
ERR434531,405,11657_7#81,2009,S,S,,R,R,S,R,,S,,,S
ERR434613,73,11658_3#67,2009,S,S,,S,S,S,R,,S,,,S
ERR435471,69,11679_7#84,2009,S,S,,S,S,S,R,,S,,,S
ERR434541,2307,11657_7#91,2009,S,S,,R,S,S,S,,S,,,S
ERR435452,88,11679_7#65,2009,S,S,,S,S,S,S,,S,,,S
ERR435453,80,11679_7#66,2009,S,S,,R,R,S,S,,S,,,S
ERR434425,95,11657_6#71,2009,S,S,,R,S,S,S,,S,,,S
ERR435362,162,11679_6#71,2009,S,S,,S,S,S,S,,S,,,S
ERR434720,10,11658_4#78,2009,S,S,,S,S,S,S,,S,,,S
ERR439616,404,11791_3#84,2009,S,S,,S,S,S,S,,S,,,S
ERR435363,88,11679_6#72,2009,R,R,,R,R,S,R,,S,,,S
ERR434475,73,11657_7#25,2001,S,,,R,R,S,S,,S,,,S
ERR434721,73,11658_4#79,2009,S,S,,R,S,S,S,,S,,,S
ERR439705,5082,11791_7#42,2002,S,S,,R,R,S,R,,S,,,S
ERR434676,95,11658_4#34,2002,S,S,,S,S,S,S,,S,,,S
ERR439539,73,11791_3#7,2002,S,S,,S,S,S,S,,S,,,S
ERR435005,59,11658_7#75,2009,S,S,,R,S,S,S,,S,,,S
ERR439657,131,11791_6#30,2009,S,S,,R,R,S,R,,S,,,R
ERR434614,69,11658_3#68,2009,S,S,,S,S,S,S,,S,,,S
ERR435454,5328,11679_7#67,2009,S,S,,S,S,S,S,,S,,,S
ERR434335,676,11657_5#77,2009,S,S,,S,S,S,S,,S,,,S
ERR439615,393,11791_3#83,2009,S,S,,S,S,S,S,,S,,,R
ERR434722,131,11658_4#80,2009,S,R,,R,R,S,R,,S,,,R
ERR435288,69,11679_5#93,2009,S,S,,S,S,S,R,,S,,,S
ERR434429,415,11657_6#75,2009,S,S,,S,S,S,S,,S,,,S
ERR434976,12,11658_7#46,2002,S,S,,S,S,S,S,,S,,,S
ERR439625,10,11791_3#93,2009,S,S,,R,R,S,R,,S,,,S
ERR435225,10,11679_5#30,2002,S,S,,S,S,S,S,,S,,,S
ERR434615,394,11658_3#69,2009,S,S,,R,S,S,S,,S,,,S
ERR434426,131,11657_6#72,2009,S,S,,R,R,S,S,,S,,,S
ERR434449,95,11657_6#95,2009,S,S,,S,S,S,S,,S,,,S
ERR435455,12,11679_7#68,2009,S,S,,S,S,S,S,,S,,,S
ERR435261,69,11679_5#66,2009,S,S,,R,R,S,S,,S,,,S
ERR435171,95,11679_4#72,2009,S,S,,R,S,S,R,,S,,,S
ERR434723,131,11658_4#81,2009,R,R,,R,R,S,R,,S,,,R
ERR434532,80,11657_7#82,2009,S,S,,R,R,S,R,,S,,,S
ERR435262,117,11679_5#67,2009,S,S,,R,S,S,S,,S,,,S
ERR434895,393,11658_6#61,2002,S,S,,S,S,S,S,,S,,,S
ERR439727,73,11791_7#65,2009,S,S,,R,R,S,S,,S,,,S
ERR434977,73,11658_7#47,2002,S,S,,R,R,R,S,,S,,,S
ERR434289,12,11657_5#31,2002,S,S,,R,S,S,R,,S,,,S
ERR435456,141,11679_7#69,2009,S,S,,S,S,S,S,,S,,,S
ERR435193,73,11679_4#94,2009,S,S,,R,R,S,S,,S,,,S
ERR435099,10,11658_8#96,2009,S,S,,R,S,S,S,,S,,,S
ERR435013,349,11658_7#83,2009,S,S,,R,S,S,S,,S,,,S
ERR434832,69,11658_5#94,2009,S,S,,R,R,S,S,,S,,,S
ERR434731,357,11658_4#89,2009,S,S,,S,S,S,S,,S,,,S
ERR435007,12,11658_7#77,2009,S,S,,R,S,S,S,,S,,,S
ERR434341,73,11657_5#83,2009,S,S,,S,S,S,S,,S,,,S
ERR434427,73,11657_6#73,2009,S,S,,S,S,S,S,,S,,,S
ERR434476,73,11657_7#26,2001,S,,,S,S,S,S,,S,,,S
ERR434814,73,11658_5#76,2002,S,S,,S,S,S,S,,S,,,S
ERR434533,12,11657_7#83,2009,S,S,,R,S,S,R,,S,,,S
ERR435310,967,11679_6#19,2001,S,,,S,S,S,S,,S,,,S
ERR434928,73,11658_6#94,2010,S,S,,S,S,S,S,,S,,,S
ERR439729,12,11791_7#67,2010,S,S,,R,S,S,R,,S,,,S
ERR434616,131,11658_3#70,2010,S,S,,S,S,S,S,,S,,,S
ERR435555,117,11679_8#73,2010,S,S,,R,S,S,S,,S,,,S
ERR434724,12,11658_4#82,2010,S,S,,R,R,S,S,,S,,,S
ERR435478,95,11679_7#91,2010,S,S,,S,S,S,S,,S,,,S
ERR434437,1972,11657_6#83,2010,S,S,,S,S,S,R,,S,,,S
ERR435482,641,11679_7#95,2010,R,R,,R,R,S,R,,S,,,S
ERR434428,12,11657_6#74,2010,S,S,,S,S,S,S,,S,,,S
ERR434734,1394,11658_4#92,2010,S,S,,R,R,S,S,,S,,,R
ERR434725,144,11658_4#83,2010,S,S,,R,S,S,S,,S,,,S
ERR434631,73,11658_3#85,2010,S,S,,R,R,S,S,,S,,,S
ERR435364,58,11679_6#73,2010,S,S,,R,S,S,S,,S,,,S
ERR434617,73,11658_3#71,2010,S,S,,S,S,S,S,,S,,,S
ERR434726,141,11658_4#84,2010,S,S,,S,S,S,S,,S,,,S
ERR435172,69,11679_4#73,2010,S,S,,R,R,R,S,,S,,,S
ERR435263,5491,11679_5#68,2010,R,R,,R,R,S,R,,R,,,R
ERR439614,10,11791_3#82,2010,S,S,,S,S,S,S,,S,,,S
ERR434727,131,11658_4#85,2010,S,S,,R,S,S,S,,R,,,R
ERR434336,73,11657_5#78,2010,S,S,,R,R,S,R,,S,,,S
ERR435556,131,11679_8#74,2010,S,S,,S,S,S,S,,S,,,S
ERR439659,393,11791_6#33,2010,S,S,,R,S,S,S,,R,,,R
ERR435008,131,11658_7#78,2010,S,R,,R,R,R,R,,S,,,R
ERR434337,95,11657_5#79,2010,S,S,,R,R,S,S,,S,,,S
ERR434618,69,11658_3#72,2010,S,S,,R,S,S,S,,S,,,S
ERR435268,14,11679_5#73,2010,S,S,,R,S,S,S,,S,,,S
ERR435401,405,11679_7#14,2001,S,,,R,S,S,S,,S,,,S
ERR434434,1618,11657_6#80,2010,S,S,,S,S,S,S,,S,,,S
ERR434728,59,11658_4#86,2010,S,S,,S,S,S,S,,S,,,S
ERR434833,141,11658_5#95,2010,S,S,,S,S,S,S,,S,,,S
ERR435009,14,11658_7#79,2010,S,S,,S,S,S,S,,S,,,S
ERR435264,415,11679_5#69,2010,S,S,,S,R,S,S,,S,,,S
ERR435269,62,11679_5#74,2010,S,S,,S,S,S,S,,S,,,S
ERR435457,131,11679_7#70,2010,S,S,,R,R,S,R,,S,,,R
ERR434430,404,11657_6#76,2010,S,S,,S,S,S,S,,S,,,S
ERR435458,104,11679_7#71,2010,S,S,,S,S,S,R,,S,,,S
ERR435177,62,11679_4#78,2010,S,S,,S,S,S,S,,S,,,S
ERR434431,12,11657_6#77,2010,S,S,,S,S,S,S,,S,,,S
ERR434621,73,11658_3#75,2010,S,S,,S,S,S,S,,S,,,S
ERR434534,12,11657_7#84,2010,S,S,,R,S,S,S,,S,,,S
ERR435010,38,11658_7#80,2010,S,S,,R,R,S,S,,S,,,S
ERR439621,73,11791_3#89,2010,S,S,,R,R,S,S,,S,,,S
ERR435557,90,11679_8#75,2010,S,S,,R,R,S,S,,S,,,R
ERR434338,131,11657_5#80,2010,S,S,,R,R,S,R,,R,,,R
ERR435265,12,11679_5#70,2010,S,S,,S,S,S,S,,S,,,S
ERR434619,537,11658_3#73,2010,S,S,,S,S,S,R,,S,,,S
ERR435173,80,11679_4#74,2010,S,S,,R,R,S,S,,S,,,S
ERR435175,446,11679_4#76,2010,S,S,,R,S,S,S,,S,,,S
ERR434535,453,11657_7#85,2010,S,S,,R,S,S,S,,S,,,S
ERR434380,73,11657_6#26,2001,S,,,R,S,S,S,,S,,,S
ERR434620,131,11658_3#74,2010,S,S,,R,R,R,R,,S,,,R
ERR434339,357,11657_5#81,2010,S,S,,S,S,S,S,,S,,,S
ERR435459,74,11679_7#72,2010,S,S,,S,S,S,S,,S,,,S
ERR434450,131,11657_6#96,2010,S,S,,R,S,S,R,,R,,,S
ERR435011,95,11658_7#81,2010,S,S,,S,S,S,S,,S,,,S
ERR435266,998,11679_5#71,2010,S,S,,R,S,S,S,,S,,,S
ERR435267,80,11679_5#72,2010,S,S,,R,S,S,S,,S,,,S
ERR434896,73,11658_6#62,2002,S,S,,S,S,S,S,,S,,,S
ERR434729,2914,11658_4#87,2010,S,S,,R,S,S,S,,S,,,S
ERR439660,404,11791_6#34,2010,S,S,,R,S,S,S,,S,,,S
ERR434929,73,11658_6#95,2010,S,S,,R,S,S,S,,S,,,S
ERR434978,95,11658_7#48,2002,S,S,,S,S,S,S,,S,,,S
ERR434290,5476,11657_5#32,2002,S,S,,R,S,S,S,,R,,,R
ERR434536,5661,11657_7#86,2010,S,S,,R,S,S,S,,S,,,S
ERR434730,117,11658_4#88,2010,S,S,,R,S,S,S,,S,,,S
ERR435098,12,11658_8#95,2010,S,S,,R,S,S,S,,S,,,S
ERR435570,12,11679_8#88,2010,S,S,,R,S,S,S,,S,,,S
ERR435365,95,11679_6#74,2010,S,S,,R,S,S,S,,S,,,S
ERR435174,73,11679_4#75,2010,S,S,,R,R,S,S,,S,,,S
ERR435367,127,11679_6#76,2010,S,S,,S,S,S,S,,S,,,S
ERR435499,95,11679_8#16,2002,S,S,,R,S,S,S,,S,,,S
ERR435012,73,11658_7#82,2010,S,S,,S,S,S,S,,S,,,S
ERR434432,73,11657_6#78,2010,S,S,,R,R,S,R,,S,,,S
ERR434433,73,11657_6#79,2010,S,S,,S,S,S,S,,S,,,S
ERR434677,393,11658_4#35,2002,S,S,,R,R,S,S,,S,,,R
ERR434291,10,11657_5#33,2002,S,S,,S,S,S,S,,S,,,S
ERR435062,73,11658_8#59,2002,S,S,,S,S,S,S,,S,,,S
ERR434385,354,11657_6#31,2002,S,S,,S,S,S,S,,R,,,R
ERR434566,95,11658_3#20,2001,S,,,S,S,S,S,,S,,,S
ERR434678,73,11658_4#36,2002,S,S,,S,S,S,S,,S,,,S
ERR434905,12,11658_6#71,2002,S,S,,R,R,S,S,,S,,,S
ERR435559,80,11679_8#77,2010,S,S,,S,S,S,S,,S,,,S
ERR439639,363,11791_6#12,2002,S,S,,R,R,S,S,,S,,,S
ERR435379,127,11679_6#88,2010,S,S,,R,R,S,S,,S,,,S
ERR434342,95,11657_5#84,2010,S,S,,S,S,S,S,,S,,,S
ERR435176,95,11679_4#77,2010,S,S,,R,R,R,S,,S,,,S
ERR434622,14,11658_3#76,2010,S,S,,R,S,S,S,,S,,,S
ERR435366,69,11679_6#75,2010,S,S,,R,S,S,S,,S,,,S
ERR435558,69,11679_8#76,2010,S,S,,R,S,S,R,,S,,,S
ERR435270,127,11679_5#75,2010,S,S,,R,S,S,S,,S,,,S
